ensemblgene,entrezgene,gene_name,path_description,path_ID
ENSG00000143149,223,ALDH9A1,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000079739,5236,PGM1,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000169299,55276,PGM2,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000111669,7167,TPI1,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000105220,2821,GPI,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000248144,126,ADH1C,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000154930,84532,ACSS1,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000262785,5313,PKLR,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000107789,9562,MINPP1,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000166800,160287,LDHAL6A,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000141349,92579,G6PC3,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000117448,10327,AKR1A1,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000226784,441531,PGAM4,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000105679,26330,GAPDHS,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000197894,128,ADH5,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000143627,5313,PKLR,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000282019,2821,GPI,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000006534,221,ALDH3B1,Glycolysis / Gluconeogenesis,path:hsa00010
ENSG00000100412,50,ACO2,Citrate cycle (TCA cycle),path:hsa00020
ENSG00000136143,8803,SUCLA2,Citrate cycle (TCA cycle),path:hsa00020
ENSG00000197444,55753,OGDHL,Citrate cycle (TCA cycle),path:hsa00020
ENSG00000182054,3418,IDH2,Citrate cycle (TCA cycle),path:hsa00020
ENSG00000172340,8801,SUCLG2,Citrate cycle (TCA cycle),path:hsa00020
ENSG00000023697,51071,DERA,Pentose phosphate pathway,path:hsa00030
ENSG00000105220,2821,GPI,Pentose phosphate pathway,path:hsa00030
ENSG00000169299,55276,PGM2,Pentose phosphate pathway,path:hsa00030
ENSG00000282019,2821,GPI,Pentose phosphate pathway,path:hsa00030
ENSG00000079739,5236,PGM1,Pentose phosphate pathway,path:hsa00030
ENSG00000151005,84076,TKTL2,Pentose phosphate pathway,path:hsa00030
ENSG00000153574,22934,RPIA,Pentose phosphate pathway,path:hsa00030
ENSG00000177156,6888,TALDO1,Pentose phosphate pathway,path:hsa00030
ENSG00000171174,64080,RBKS,Pentose phosphate pathway,path:hsa00030
ENSG00000049239,9563,H6PD,Pentose phosphate pathway,path:hsa00030
ENSG00000117448,10327,AKR1A1,Pentose and glucuronate interconversions,path:hsa00040
ENSG00000169764,7360,UGP2,Pentose and glucuronate interconversions,path:hsa00040
ENSG00000112699,2762,GMDS,Fructose and mannose metabolism,path:hsa00051
ENSG00000111669,7167,TPI1,Fructose and mannose metabolism,path:hsa00051
ENSG00000114268,5210,PFKFB4,Fructose and mannose metabolism,path:hsa00051
ENSG00000123836,5208,PFKFB2,Fructose and mannose metabolism,path:hsa00051
ENSG00000132199,55556,ENOSF1,Fructose and mannose metabolism,path:hsa00051
ENSG00000140650,5373,PMM2,Fructose and mannose metabolism,path:hsa00051
ENSG00000169764,7360,UGP2,Galactose metabolism,path:hsa00052
ENSG00000117411,8704,B4GALT2,Galactose metabolism,path:hsa00052
ENSG00000169299,55276,PGM2,Galactose metabolism,path:hsa00052
ENSG00000214013,2595,GANC,Galactose metabolism,path:hsa00052
ENSG00000079739,5236,PGM1,Galactose metabolism,path:hsa00052
ENSG00000141349,92579,G6PC3,Galactose metabolism,path:hsa00052
ENSG00000108479,2584,GALK1,Galactose metabolism,path:hsa00052
ENSG00000117448,10327,AKR1A1,Ascorbate and aldarate metabolism,path:hsa00053
ENSG00000143149,223,ALDH9A1,Ascorbate and aldarate metabolism,path:hsa00053
ENSG00000152463,55301,OLAH,Fatty acid biosynthesis,path:hsa00061
ENSG00000116353,51102,MECR,Fatty acid biosynthesis,path:hsa00061
ENSG00000176715,197322,ACSF3,Fatty acid biosynthesis,path:hsa00061
ENSG00000275176,31,ACACA,Fatty acid biosynthesis,path:hsa00061
ENSG00000278540,31,ACACA,Fatty acid biosynthesis,path:hsa00061
ENSG00000130377,81616,ACSBG2,Fatty acid biosynthesis,path:hsa00061
ENSG00000119915,83401,ELOVL3,Fatty acid elongation,path:hsa00062
ENSG00000170522,79071,ELOVL6,Fatty acid elongation,path:hsa00062
ENSG00000196407,284486,THEM5,Fatty acid elongation,path:hsa00062
ENSG00000012660,60481,ELOVL5,Fatty acid elongation,path:hsa00062
ENSG00000127884,1892,ECHS1,Fatty acid elongation,path:hsa00062
ENSG00000116353,51102,MECR,Fatty acid elongation,path:hsa00062
ENSG00000138029,3032,HADHB,Fatty acid elongation,path:hsa00062
ENSG00000167315,10449,ACAA2,Fatty acid elongation,path:hsa00062
ENSG00000138029,3032,HADHB,Fatty acid degradation,path:hsa00071
ENSG00000248144,126,ADH1C,Fatty acid degradation,path:hsa00071
ENSG00000161533,51,ACOX1,Fatty acid degradation,path:hsa00071
ENSG00000127884,1892,ECHS1,Fatty acid degradation,path:hsa00071
ENSG00000087008,8310,ACOX3,Fatty acid degradation,path:hsa00071
ENSG00000167315,10449,ACAA2,Fatty acid degradation,path:hsa00071
ENSG00000197894,128,ADH5,Fatty acid degradation,path:hsa00071
ENSG00000110090,1374,CPT1A,Fatty acid degradation,path:hsa00071
ENSG00000130377,81616,ACSBG2,Fatty acid degradation,path:hsa00071
ENSG00000143149,223,ALDH9A1,Fatty acid degradation,path:hsa00071
